,event_id,etype,lat,lon,depth,zerr,herr,prefor_time,mag,magtype,offset_km,CAT0,CAT1,CAT2,time_fixed,epi_fixed,depth_fixed,herr_large,zerr_large,terr_large,low_phase_count,closest_sta_too_far,too_few_sta,WC
uw10079893,quakeml:uw.anss.org/Event/UW/10079893,eq,48.9003333,-121.882,1316.0,3610.0,4181.0,1980-06-17 12:24:36.000,1.5,Md,14.774602514939058,True,True,False,False,False,False,False,False,False,False,True,False,False
uw10080228,quakeml:uw.anss.org/Event/UW/10080228,px,48.5365,-122.19549999999998,-832.0,380.0,462.0,1980-06-19 21:01:05.800,1.2,Md,38.374971555905915,False,False,False,False,False,True,False,False,False,False,True,False,False
uw10082228,quakeml:uw.anss.org/Event/UW/10082228,eq,48.9746667,-121.9966667,-828.0,1210.0,2305.0,1980-07-15 21:33:06.130,1.5,Md,25.84038991528651,True,True,False,False,False,True,False,False,False,False,True,False,False
uw10086078,quakeml:uw.anss.org/Event/UW/10086078,eq,49.033,-122.0156667,1216.0,99900.0,30015.0,1980-07-28 22:50:25.380,1.7,Md,32.19834482116848,False,False,False,True,True,True,True,True,True,True,True,False,False
uw10082063,quakeml:uw.anss.org/Event/UW/10082063,eq,48.3586667,-121.6426667,1461.0,96240.0,26226.0,1980-08-04 19:32:19.570,1.2,Md,47.991099332128954,False,False,False,False,True,True,True,True,True,False,True,False,False
uw10088603,quakeml:uw.anss.org/Event/UW/10088603,eq,48.3821667,-121.70616669999998,3588.0,99900.0,17605.0,1980-09-25 00:53:29.500,1.6,Md,44.38559646802373,False,False,False,False,True,True,True,True,True,False,True,False,False
uw10088728,quakeml:uw.anss.org/Event/UW/10088728,eq,48.735,-121.7695,22859.0,3520.0,5421.0,1980-09-26 09:26:06.180,1.5,Md,5.614460682099632,True,True,False,False,False,False,False,False,False,False,True,False,False
uw10091478,quakeml:uw.anss.org/Event/UW/10091478,eq,48.9223333,-121.88549999999998,-670.0,260.0,385.0,1980-10-16 20:57:20.290,2.4,Md,17.1820144017744,True,True,False,False,False,True,False,False,False,False,True,False,False
uw10095628,quakeml:uw.anss.org/Event/UW/10095628,eq,48.6678333,-121.54283329999998,9204.0,,1159.0,1980-12-27 20:09:01.740,0.6,Md,23.36285037779969,True,True,False,False,False,True,False,True,False,True,True,False,False
uw10096928,quakeml:uw.anss.org/Event/UW/10096928,eq,48.6823333,-121.7106667,16924.0,2420.0,1180.0,1981-01-29 22:25:03.740,0.63,Md,12.88812902114351,True,True,False,False,False,False,False,False,False,True,True,False,False
uw10112323,quakeml:uw.anss.org/Event/UW/10112323,eq,48.7246667,-122.0361667,-836.0,990.0,1678.0,1981-02-24 19:10:35.320,1.5,Md,16.984051469806175,True,True,False,False,False,True,False,False,False,True,True,False,False
uw10098183,quakeml:uw.anss.org/Event/UW/10098183,px,48.6103333,-121.7618333,13984.0,3050.0,1036.0,1981-03-02 21:16:41.210,0.9,Md,18.702249727364645,True,True,False,False,False,False,False,False,False,False,True,False,False
uw10099248,quakeml:uw.anss.org/Event/UW/10099248,eq,48.6538333,-121.7248333,-794.0,930.0,447.0,1981-03-04 20:53:04.150,2.0,Md,15.032471712190052,True,True,False,False,False,True,False,False,False,False,True,False,False
uw10107463,quakeml:uw.anss.org/Event/UW/10107463,px,48.5165,-121.5735,508.0,,955.0,1981-03-23 16:31:44.160,0.8,Md,33.81834473388831,False,False,False,False,False,False,False,True,False,True,True,False,False
uw10107608,quakeml:uw.anss.org/Event/UW/10107608,eq,48.7463333,-122.0271667,1894.0,99900.0,6768.0,1981-03-24 14:14:33.310,1.4,Md,15.706865337822986,True,True,False,False,True,True,False,True,True,False,True,False,False
uw10098638,quakeml:uw.anss.org/Event/UW/10098638,eq,48.5063333,-122.1895,2254.0,740.0,1032.0,1981-04-03 10:00:20.030,1.9,Md,40.46722490565681,False,False,False,False,False,False,False,False,False,False,True,False,False
uw10100963,quakeml:uw.anss.org/Event/UW/10100963,eq,48.6611667,-122.4395,-777.0,3380.0,1146.0,1981-04-09 22:15:12.960,1.6,Md,47.363085755412534,False,False,False,False,False,True,False,False,False,True,True,False,False
uw10102378,quakeml:uw.anss.org/Event/UW/10102378,eq,48.6316667,-121.947,-836.0,120.0,58.0,1981-04-11 05:11:58.490,1.4,Md,18.520551268240578,True,True,False,False,False,True,False,False,False,True,True,False,False
uw10103123,quakeml:uw.anss.org/Event/UW/10103123,eq,48.4915,-122.03166670000002,2088.0,19020.0,6631.0,1981-04-14 07:33:19.000,0.7,Md,35.19582382334201,False,False,False,False,True,True,False,True,False,True,True,False,False
uw10105308,quakeml:uw.anss.org/Event/UW/10105308,eq,48.5126667,-122.1963333,3306.0,730.0,729.0,1981-04-17 22:56:18.200,2.4,Md,40.29534945041913,False,False,False,False,False,False,False,False,False,False,True,False,False
uw10105708,quakeml:uw.anss.org/Event/UW/10105708,eq,48.5685,-122.313,10406.0,2000.0,608.0,1981-04-19 12:00:06.850,1.5,Md,43.015148076704726,False,False,False,False,False,False,False,False,False,False,True,False,False
uw10106588,quakeml:uw.anss.org/Event/UW/10106588,eq,48.6345,-121.9448333,-774.0,710.0,381.0,1981-05-28 15:13:06.830,1.5,Md,18.16845518500585,True,True,False,False,False,True,False,False,False,False,True,False,False
uw10106613,quakeml:uw.anss.org/Event/UW/10106613,eq,48.639,-121.8981667,-804.0,210.0,114.0,1981-05-28 16:07:11.770,1.8,Md,16.196734827818464,True,True,False,False,False,True,False,False,False,False,True,False,False
uw10110263,quakeml:uw.anss.org/Event/UW/10110263,eq,48.6531667,-121.93316670000002,-784.0,770.0,453.0,1981-06-12 06:20:49.850,1.8,Md,15.951149303985668,True,True,False,False,False,True,False,False,False,False,True,False,False
uw10110308,quakeml:uw.anss.org/Event/UW/10110308,eq,48.6558333,-121.9311667,-804.0,240.0,130.0,1981-06-12 19:00:30.680,1.9,Md,15.62197536583074,True,True,False,False,False,True,False,False,False,False,True,False,False
uw10111343,quakeml:uw.anss.org/Event/UW/10111343,eq,48.6575,-121.9461667,-822.0,470.0,336.0,1981-06-17 19:24:31.130,1.3,Md,16.087336883660768,True,True,False,False,False,True,False,False,False,False,True,False,False
uw10111358,quakeml:uw.anss.org/Event/UW/10111358,eq,48.6636667,-121.98283329999998,-22.0,440.0,501.0,1981-06-17 20:34:33.290,0.9,Md,17.307742277848,True,True,False,False,False,True,False,False,False,True,True,False,False
uw10114458,quakeml:uw.anss.org/Event/UW/10114458,eq,48.852,-122.1251667,5039.0,25970.0,2405.0,1981-06-23 00:05:28.950,3.4,Md,24.14201395060995,True,True,False,False,True,True,False,True,True,False,True,False,False
uw10114538,quakeml:uw.anss.org/Event/UW/10114538,eq,48.8483333,-122.1351667,1326.0,3500.0,2813.0,1981-06-23 00:06:27.780,2.3,Md,24.68964526287818,True,True,False,False,False,False,False,False,False,False,True,False,False
uw10114848,quakeml:uw.anss.org/Event/UW/10114848,eq,48.8378333,-122.15816669999998,-816.0,1270.0,1252.0,1981-06-23 09:31:57.020,1.3,Md,25.945557345144604,True,True,False,False,False,True,False,False,False,False,True,False,False
uw10116578,quakeml:uw.anss.org/Event/UW/10116578,eq,48.8315,-122.13016670000002,3256.0,,1159.0,1981-06-28 10:42:39.330,1.2,Md,23.78244942262898,True,True,False,False,False,False,False,True,False,False,True,False,False
uw10116623,quakeml:uw.anss.org/Event/UW/10116623,eq,48.835,-122.1253333,1906.0,4860.0,2165.0,1981-06-28 18:18:23.690,2.5,Md,23.54889988089749,True,True,False,False,True,True,False,False,False,False,True,False,False
