evid,etype,selectflag,version,commid,remark,magid,magnitude,magtype,uncertainty,nobs,nsta,orid,auth,subsource,to_timestamp,lat,lon,depth,quality,wrms,erhor,sdep,erlat,erlon,bogusflag,fdepth,fepi,ftime,stt,stx,sty,stz,sxx,sxy,sxz,syy,syz,szz,maglarge,azilarge,diplarge,maginter,aziinter,dipinter,magsmall,azismall,dipsmall
10676868,lf,1,7,857018,"NEAR:      3.2 km ENE of Mt Baker, WA",2227453,2.24,l,0.131,13,11,2466093,UW,Jiggle,2005-08-09 14:40:05.48-07,48.8055,-121.7423333,34.15,0.5,0.78,3.82,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,3.82,238,0,2.27,,
10676868,lf,1,7,857018,9 triggered subnets: 3 5 6 7 9 12 16 23 25,2227453,2.24,l,0.131,13,11,2466093,UW,Jiggle,2005-08-09 14:40:05.48-07,48.8055,-121.7423333,34.15,0.5,0.78,3.82,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,3.82,238,0,2.27,,
10676868,lf,1,7,857018,UW2 Q1=C  Q2=D,2227453,2.24,l,0.131,13,11,2466093,UW,Jiggle,2005-08-09 14:40:05.48-07,48.8055,-121.7423333,34.15,0.5,0.78,3.82,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,3.82,238,0,2.27,,
10676868,lf,1,7,857018,EVENT ID: 055706,2227453,2.24,l,0.131,13,11,2466093,UW,Jiggle,2005-08-09 14:40:05.48-07,48.8055,-121.7423333,34.15,0.5,0.78,3.82,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,3.82,238,0,2.27,,
10676123,lf,1,7,856273,"NEAR:      1.1 km   E of Mt Baker, WA",2227438,0.88,d,0.088,2,2,2466083,UW,Jiggle,2005-10-02 09:02:19.379997-07,48.7785,-121.8436667,-1.12,0.5,0.53,4.77,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,4.77,207,0,1.94,,
10676123,lf,1,7,856273,3 triggered subnets: 6 7 25,2227438,0.88,d,0.088,2,2,2466083,UW,Jiggle,2005-10-02 09:02:19.379997-07,48.7785,-121.8436667,-1.12,0.5,0.53,4.77,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,4.77,207,0,1.94,,
10676123,lf,1,7,856273,EVENT ID: 061471,2227438,0.88,d,0.088,2,2,2466083,UW,Jiggle,2005-10-02 09:02:19.379997-07,48.7785,-121.8436667,-1.12,0.5,0.53,4.77,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,4.77,207,0,1.94,,
10676123,lf,1,7,856273,UW2 Q1=C  Q2=D,2227438,0.88,d,0.088,2,2,2466083,UW,Jiggle,2005-10-02 09:02:19.379997-07,48.7785,-121.8436667,-1.12,0.5,0.53,4.77,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,4.77,207,0,1.94,,
10693498,lf,1,5,873648,1 triggered subnets: 7,3036013,1.37,d,0.0711110710212326,3,3,3114963,UW,Jiggle,2006-06-13 09:14:52.939999-07,48.763666666666666,-121.81916666666666,-1.03,0.5,0.32,2.8,5.28,,,0,n,n,n,,,,,,,,,,,5.72,262,67,2.94,40,17,1.08,,
10693498,lf,1,5,873648,UW2 Q1=C  Q2=D,3036013,1.37,d,0.0711110710212326,3,3,3114963,UW,Jiggle,2006-06-13 09:14:52.939999-07,48.763666666666666,-121.81916666666666,-1.03,0.5,0.32,2.8,5.28,,,0,n,n,n,,,,,,,,,,,5.72,262,67,2.94,40,17,1.08,,
10693498,lf,1,5,873648,"NEAR:      1.7 km   S of Mt Baker, WA",3036013,1.37,d,0.0711110710212326,3,3,3114963,UW,Jiggle,2006-06-13 09:14:52.939999-07,48.763666666666666,-121.81916666666666,-1.03,0.5,0.32,2.8,5.28,,,0,n,n,n,,,,,,,,,,,5.72,262,67,2.94,40,17,1.08,,
10693498,lf,1,5,873648,EVENT ID: 090038,3036013,1.37,d,0.0711110710212326,3,3,3114963,UW,Jiggle,2006-06-13 09:14:52.939999-07,48.763666666666666,-121.81916666666666,-1.03,0.5,0.32,2.8,5.28,,,0,n,n,n,,,,,,,,,,,5.72,262,67,2.94,40,17,1.08,,
10711563,lf,1,5,892063,2 triggered subnets: 6 7,2227408,1.49,l,0.135,4,4,2466058,UW,Jiggle,2007-06-05 12:25:58.68-07,48.7325,-121.8563333,-0.98,0.3,0.56,5.18,31.61,,,0,y,y,n,,,,,,,,,,,31.61,0,90,5.18,238,0,1.4,,
10711563,lf,1,5,892063,"NEAR:      5.7 km SSW of Mt Baker, WA",2227408,1.49,l,0.135,4,4,2466058,UW,Jiggle,2007-06-05 12:25:58.68-07,48.7325,-121.8563333,-0.98,0.3,0.56,5.18,31.61,,,0,y,y,n,,,,,,,,,,,31.61,0,90,5.18,238,0,1.4,,
10711563,lf,1,5,892063,UW2 Q1=D  Q2=D,2227408,1.49,l,0.135,4,4,2466058,UW,Jiggle,2007-06-05 12:25:58.68-07,48.7325,-121.8563333,-0.98,0.3,0.56,5.18,31.61,,,0,y,y,n,,,,,,,,,,,31.61,0,90,5.18,238,0,1.4,,
10711563,lf,1,5,892063,EVENT ID: 007920,2227408,1.49,l,0.135,4,4,2466058,UW,Jiggle,2007-06-05 12:25:58.68-07,48.7325,-121.8563333,-0.98,0.3,0.56,5.18,31.61,,,0,y,y,n,,,,,,,,,,,31.61,0,90,5.18,238,0,1.4,,
10729713,lf,1,5,910228,"NEAR:      2.8 km ENE of Mt Baker, WA",943308,0.78,d,0.165,2,2,1200513,UW,Jiggle,2007-07-24 23:35:39.52-07,48.79,-121.7823333,35.744,1,0.28,0.68,0.75,,,0,n,n,n,,,,,,,,,,,0.87,341,60,0.71,101,16,0.53,,
10729713,lf,1,5,910228,Event cut out from 07072506345p by amyw Tue Jul 31 14:38:41 PDT 2007,943308,0.78,d,0.165,2,2,1200513,UW,Jiggle,2007-07-24 23:35:39.52-07,48.79,-121.7823333,35.744,1,0.28,0.68,0.75,,,0,n,n,n,,,,,,,,,,,0.87,341,60,0.71,101,16,0.53,,
10729713,lf,1,5,910228,UW2 Q1=A  Q2=B,943308,0.78,d,0.165,2,2,1200513,UW,Jiggle,2007-07-24 23:35:39.52-07,48.79,-121.7823333,35.744,1,0.28,0.68,0.75,,,0,n,n,n,,,,,,,,,,,0.87,341,60,0.71,101,16,0.53,,
10734128,eq,1,6,914638,"NEAR:     16.6 km  SW of Concrete, WA",2047718,1.38,d,0.051,4,4,2303713,UW,Jiggle,2008-01-11 08:47:51.4-08,48.434,-121.9058333,68.86,0.8,0.12,1.54,1.01,,,0,n,n,n,,,,,,,,,,,1.73,259,26,1.19,113,58,0.67,,
10734128,eq,1,6,914638,3 triggered subnets: 5 6 22,2047718,1.38,d,0.051,4,4,2303713,UW,Jiggle,2008-01-11 08:47:51.4-08,48.434,-121.9058333,68.86,0.8,0.12,1.54,1.01,,,0,n,n,n,,,,,,,,,,,1.73,259,26,1.19,113,58,0.67,,
10734128,eq,1,6,914638,EVENT ID: 027275,2047718,1.38,d,0.051,4,4,2303713,UW,Jiggle,2008-01-11 08:47:51.4-08,48.434,-121.9058333,68.86,0.8,0.12,1.54,1.01,,,0,n,n,n,,,,,,,,,,,1.73,259,26,1.19,113,58,0.67,,
