2016-02-14 08:42:31.640004, MBW EHZ UW 01, baker49
2011-11-24 15:55:54.599900, MBW EHZ UW 01, baker50
2011-11-24 16:45:22.789900, MBW EHZ UW 01, baker50
2011-11-24 19:02:43.080000, MBW EHZ UW 01, baker50
2011-12-01 08:56:22.630000, MBW EHZ UW 01, baker50
2011-12-01 17:09:36.320000, MBW EHZ UW 01, baker50
2011-12-09 23:35:08.750000, MBW EHZ UW 01, baker50
2011-12-16 22:21:34.420000, MBW EHZ UW 01, baker50
2011-12-17 04:31:32, MBW EHZ UW 01, baker50
2011-12-03 19:39:58.651100, MBW EHZ UW 01, baker51
2011-12-03 19:43:43.321100, MBW EHZ UW 01, baker51
2011-12-08 19:13:39.560000, MBW EHZ UW 01, baker52
2011-12-08 19:25:00.050000, MBW EHZ UW 01, baker52
2012-02-03 02:45:03.240400, MBW EHZ UW 01, baker53
2012-02-03 21:46:05.680000, MBW EHZ UW 01, baker53
2012-02-06 05:24:12.090000, MBW EHZ UW 01, baker54
2012-02-06 05:54:20.880000, MBW EHZ UW 01, baker54
2012-03-29 20:01:15.810000, MBW EHZ UW 01, baker55
2012-03-29 20:10:15.730000, MBW EHZ UW 01, baker55
2012-03-29 20:13:33.660000, MBW EHZ UW 01, baker55
2012-03-29 21:14:09.180000, MBW EHZ UW 01, baker55
2012-03-29 22:25:06.200000, MBW EHZ UW 01, baker55
2012-04-01 20:30:12.740000, MBW EHZ UW 01, baker55
2012-04-03 21:40:22.570100, MBW EHZ UW 01, baker55
2012-04-19 16:36:32.550000, MBW EHZ UW 01, baker55
2012-04-19 17:52:00.138000, MBW EHZ UW 01, baker55
2012-04-21 13:11:34.341400, MBW EHZ UW 01, baker55
2012-04-19 01:58:02.181000, MBW EHZ UW 01, baker56
2012-04-22 01:59:11.150000, MBW EHZ UW 01, baker56
2012-05-01 23:21:07.239000, MBW EHZ UW 01, baker57
2012-05-01 23:34:52.619000, MBW EHZ UW 01, baker57
2012-06-17 21:19:35.430000, MBW EHZ UW 01, baker58
2012-06-21 22:58:51.490000, MBW EHZ UW 01, baker58
2012-06-24 21:12:21.330000, MBW EHZ UW 01, baker58
2012-06-27 21:24:57.870000, MBW EHZ UW 01, baker58
2012-07-20 21:14:57.660400, MBW EHZ UW 01, baker58
2012-07-01 21:25:11.406200, MBW EHZ UW 01, baker59
2012-07-05 21:17:26.891400, MBW EHZ UW 01, baker59
2012-08-29 17:23:48.270100, MBW EHZ UW 01, baker59
2012-07-04 04:00:20.979200, MBW EHZ UW 01, baker60
2012-07-05 11:22:06.313100, MBW EHZ UW 01, baker60
2012-07-29 20:57:08.480200, MBW EHZ UW 01, baker61
2012-07-29 22:46:27.950600, MBW EHZ UW 01, baker61
2012-08-19 23:59:31.381100, MBW EHZ UW 01, baker62
2012-08-23 08:38:13.411300, MBW EHZ UW 01, baker62
2012-08-31 19:16:15.379400, MBW EHZ UW 01, baker63
2012-08-31 22:23:41.330200, MBW EHZ UW 01, baker63
