cluster_index,reftime
99,2013-09-16 19:37:42.201000
99,2013-09-17 20:24:35.980700
100,2013-10-05 10:08:30.150000
100,2013-10-05 10:11:45.250000
101,2013-11-15 20:35:29.019998
101,2013-11-15 21:21:46.540005
101,2013-11-16 04:22:05.810014
101,2013-11-16 21:34:23.130011
101,2013-11-17 17:05:56.959998
101,2013-11-24 13:30:07.321363
101,2013-11-26 04:10:40.370346
101,2014-09-03 07:56:30.600005
101,2014-09-04 15:05:59.440026
101,2014-09-08 07:37:56.710002
101,2014-09-08 07:44:20.730002
101,2014-09-10 19:35:26.860093
101,2014-12-22 06:55:47.800160
101,2014-12-22 07:01:31.020160
101,2014-12-22 07:15:12.370160
101,2015-02-03 17:37:12.610020
102,2013-11-17 20:00:17.839997
102,2013-11-18 08:51:06.600005
103,2013-11-23 11:12:08.200367
103,2013-11-26 09:15:17.310574
104,2013-12-06 12:57:28.959999
104,2013-12-07 02:08:35.960176
105,2013-12-29 14:04:24.040055
105,2013-12-29 15:03:56.290006
106,2014-01-12 03:31:21.350007
106,2014-01-12 12:17:49.200708
106,2015-06-02 02:22:30.760027
107,2014-02-19 07:23:53.320577
107,2014-02-22 07:15:22.170279
107,2014-02-22 07:22:28.820279
108,2014-03-10 11:34:16.130008
108,2014-03-10 11:54:21.470008
109,2014-03-11 21:11:55.950000
109,2014-03-12 00:33:25.430042
109,2014-03-13 04:54:34.490077
110,2014-05-25 12:50:15.470166
110,2014-05-25 14:16:18.060003
111,2014-07-25 10:01:25.930430
111,2014-07-26 06:00:54.730005
111,2014-07-26 06:03:34.020005
112,2014-07-28 11:01:49.290008
112,2014-07-28 20:26:52.770082
113,2014-08-09 22:46:27.740011
113,2014-08-11 07:32:04.970014
114,2014-10-03 21:15:31.370013
114,2014-10-05 16:39:36.680042
115,2014-10-13 15:24:21.180005
115,2014-10-13 15:26:09.530005
116,2014-11-13 19:32:20.509998
116,2014-11-15 19:52:04.331046
116,2014-11-19 13:09:04.820014
116,2014-11-21 02:22:12.109995
116,2015-12-31 12:10:55.440019
117,2014-11-21 21:41:22.430007
117,2014-11-23 01:11:49.620126
118,2014-12-18 13:58:02.351396
118,2014-12-18 14:17:21.481396
119,2014-12-21 10:47:12.471158
119,2014-12-22 21:02:32.190148
120,2014-12-23 03:01:31.811263
120,2014-12-24 13:09:07.740023
121,2015-01-14 16:09:34.190005
121,2015-01-15 19:21:39.457889
122,2015-01-31 09:51:49.120006
122,2015-01-31 11:40:30.410098
122,2015-02-06 15:12:27.940771
122,2015-02-08 09:09:28.010007
122,2015-02-08 12:29:26.980003
122,2015-02-13 22:01:59.190025
122,2015-02-14 01:16:53.650326
122,2015-02-15 16:42:44.210916
122,2015-02-15 17:04:53.730049
122,2015-02-15 18:24:26.620009
122,2015-02-15 21:42:44.300177
122,2015-03-10 12:54:30.700854
122,2015-03-13 05:15:44.329998
123,2015-02-04 05:37:02.397161
123,2015-02-04 07:20:26.040056
124,2015-03-08 08:48:41.790003
124,2015-03-08 14:14:00.260033
124,2016-05-23 00:43:08.439999
125,2015-03-12 14:13:47.580721
125,2015-03-13 12:08:41.570059
126,2015-03-30 09:46:07.140007
126,2015-03-30 10:07:23.510002
127,2015-04-02 01:23:57.810023
127,2015-04-05 01:19:22.010008
128,2015-04-02 19:09:21.380038
128,2015-04-04 03:27:47.730006
128,2015-06-03 17:39:52.060289
128,2015-10-07 00:31:05.190124
129,2015-04-14 19:10:22.570000
129,2015-04-18 12:16:14.740014
129,2015-05-21 03:09:32.120012
129,2015-08-17 14:28:28.010006
130,2015-04-15 20:04:01.500023
130,2015-04-16 03:08:35.830012
130,2015-04-18 10:41:49.030292
131,2015-04-23 17:59:00.300012
131,2015-04-24 05:21:44.591038
132,2015-04-24 02:33:18.590005
132,2015-04-24 05:44:34.791038
133,2015-04-24 05:23:29.771038
133,2015-04-24 06:06:38.500317
133,2015-04-24 06:13:28.310317
134,2015-04-24 06:58:28.720087
134,2015-04-24 07:01:27.250087
134,2015-04-24 07:07:34.190087
134,2015-04-24 07:08:10.510087
134,2015-04-24 07:10:13.670087
135,2015-05-04 21:37:33.616945
135,2015-05-04 22:01:44.430816
136,2015-05-07 09:03:40.610005
136,2015-05-07 09:13:10.520005
136,2015-05-10 04:34:42.020013
136,2015-05-10 09:31:47.571263
136,2015-05-20 01:35:44.730022
136,2015-05-29 07:04:03.180009
136,2015-05-29 12:42:34.100010
136,2015-06-18 11:15:00.289998
136,2022-04-05 04:53:00.180000
137,2015-05-08 05:20:01.980017
137,2015-05-08 05:39:51.140017
138,2015-06-30 07:33:22.340023
138,2015-06-30 09:34:32.830005
138,2015-07-03 03:12:05.851389
138,2015-07-03 03:22:21.301389
138,2015-07-04 13:05:51.660008
138,2015-07-17 04:29:51.980008
138,2015-07-18 11:14:13.140001
138,2015-07-23 06:29:17.200100
138,2015-08-15 04:54:33.680004
138,2015-08-17 21:16:49.870000
139,2015-07-07 15:06:34.940026
139,2015-07-07 16:40:57.280013
139,2015-07-10 09:30:08.570015
139,2015-07-10 14:45:15.690273
139,2015-07-12 15:31:08.290002
140,2015-07-08 21:26:51.200003
140,2015-07-08 21:39:00.820003
141,2015-09-14 22:56:44.061378
141,2015-09-16 04:12:35.110011
142,2015-09-19 21:51:47.370005
142,2015-09-19 22:37:24.410009
143,2015-10-06 13:45:14.841372
143,2015-10-06 14:26:52.010173
143,2015-10-07 21:13:00.380435
143,2015-10-07 21:38:50.990435
144,2015-10-25 02:40:09.059998
144,2015-10-25 12:57:44.239999
145,2015-11-05 11:28:35.860111
145,2015-11-06 07:51:42.618418
146,2015-11-07 16:19:52.480014
146,2015-11-09 12:28:25.380000
146,2015-12-01 00:31:01.570009
147,2015-11-11 14:53:48.910266
147,2015-11-12 02:30:59.060440
148,2015-11-25 20:12:12.920005
148,2015-11-25 21:20:51.467829
148,2015-11-25 22:33:49.451131
149,2016-02-04 01:13:29.140173
149,2016-02-04 01:33:12.750173
149,2016-02-04 02:17:26.830006
149,2016-02-04 09:12:27.450630
150,2016-02-05 22:13:29.070000
150,2016-02-09 19:05:22.410006
150,2016-03-18 23:11:51.740016
150,2016-03-27 02:33:00.920003
150,2016-04-18 16:24:20.380034
150,2016-05-07 04:52:55.600009
150,2016-06-25 23:15:37.100010
151,2016-03-02 00:16:29.640008
151,2016-03-02 00:18:10.570008
151,2016-03-03 05:36:09.910860
152,2016-03-05 18:39:16.120268
152,2016-03-05 18:39:49.340268
153,2016-04-06 23:14:21.300011
153,2016-04-07 03:31:04.589999
154,2016-05-02 23:05:50.300012
154,2016-05-07 21:17:10.330710
154,2016-06-15 23:12:46.801000
154,2016-07-31 17:14:28.310004
155,2016-05-03 00:21:22.450924
155,2016-05-07 20:22:34.624542
155,2016-05-15 19:48:04.050003
155,2016-05-21 00:34:07.860011
155,2016-06-12 19:48:07.030006
155,2016-06-16 20:05:03.560006
155,2016-10-13 18:20:59.390014
156,2016-05-03 18:41:59.061259
156,2016-05-05 18:52:56.080862
157,2016-05-28 08:29:42.450002
157,2016-05-29 05:18:11.951402
157,2017-07-27 15:58:13.590000
158,2016-06-15 14:11:28.430929
158,2016-06-18 11:19:35.730005
158,2016-06-18 11:28:47.080005
158,2018-09-04 22:59:53.590004
158,2023-03-09 07:41:06.060000
159,2016-07-01 20:05:26.780019
159,2016-07-01 21:18:18.650113
