evid,etype,remark,auth,calculated_distance_km,origin_time,lat,lon,depth,totalarr,no_defining_phases,no_S_phase,orig_quality,wrms,rflag,fixed_depth,fixed_epicenter,fixed_origin_time,origin_bogusflag,magnitude,magtype,mag_nsta,mag_nobs,mag_uncertainty,orid,sxx,syy,szz,stt,sxy,sxz,syz,stx,sty,stz,azismall,dipsmall,magsmall,aziinter,dipinter,maginter,azilarge,diplarge,maglarge,lddate,subsource,version,lddate
10660283,lf,"NEAR:      6.4 km ENE of Mt Baker, WA",UW,3.8276514454602886,2005-07-07 14:17:21.389999-07,48.7823333,-121.7663333,23.93,10,9,3,0.8,0.24,F,n,n,n,0,1.49,l,4,4,0.411,2466108,,,,,,,,,,,,,0.8,273,60,1.42,51,23,1.93,2016-05-18 01:27:43,UW2AQMS,5,2012-03-05 17:24:33
10665323,lf,depth hard to constrain,UW,5.011830874868456,2005-07-14 21:39:30.82-07,48.7296667,-121.8101667,17.05,12,10,4,1,0.13,F,n,n,n,0,1.21,d,4,4,0.223,2466103,,,,,,,,,,,,,0.4,215,11,0.65,41,78,1.48,2016-05-18 01:26:35,UW2AQMS,8,2012-03-05 17:34:32
10671218,lf,UW2 Q1=D  Q2=D,UW,6.606981555276988,2005-08-02 01:02:38.85-07,48.813,-121.7485,34.02,10,10,3,0.5,0.58,F,y,n,n,0,0.89,d,3,3,0.096,2466098,,,,,,,,,,,,,2.23,240,0,4.2,0,90,31.61,2016-05-18 01:24:52,UW2AQMS,9,2012-03-05 17:48:40
10671218,lf,binder location:,UW,6.606981555276988,2005-08-02 01:02:38.85-07,48.813,-121.7485,34.02,10,10,3,0.5,0.58,F,y,n,n,0,0.89,d,3,3,0.096,2466098,,,,,,,,,,,,,2.23,240,0,4.2,0,90,31.61,2016-05-18 01:24:52,UW2AQMS,9,2012-03-05 17:48:40
10671218,lf,A 200508020802 37.66 46N1217 122W1175 1.00 8/008 99 1 0.00 DB,UW,6.606981555276988,2005-08-02 01:02:38.85-07,48.813,-121.7485,34.02,10,10,3,0.5,0.58,F,y,n,n,0,0.89,d,3,3,0.096,2466098,,,,,,,,,,,,,2.23,240,0,4.2,0,90,31.61,2016-05-18 01:24:52,UW2AQMS,9,2012-03-05 17:48:40
10671218,lf,"NEAR:      8.9 km ENE of Mt Baker, WA",UW,6.606981555276988,2005-08-02 01:02:38.85-07,48.813,-121.7485,34.02,10,10,3,0.5,0.58,F,y,n,n,0,0.89,d,3,3,0.096,2466098,,,,,,,,,,,,,2.23,240,0,4.2,0,90,31.61,2016-05-18 01:24:52,UW2AQMS,9,2012-03-05 17:48:40
10676868,lf,UW2 Q1=C  Q2=D,UW,6.477837508480372,2005-08-09 14:40:05.48-07,48.8055,-121.7423333,34.15,15,15,4,0.5,0.78,F,y,n,n,0,2.24,l,11,13,0.131,2466093,,,,,,,,,,,,,2.27,238,0,3.82,0,90,31.61,2016-05-18 01:23:29,UW2AQMS,7,2012-03-05 18:00:46
10676868,lf,"NEAR:      3.2 km ENE of Mt Baker, WA",UW,6.477837508480372,2005-08-09 14:40:05.48-07,48.8055,-121.7423333,34.15,15,15,4,0.5,0.78,F,y,n,n,0,2.24,l,11,13,0.131,2466093,,,,,,,,,,,,,2.27,238,0,3.82,0,90,31.61,2016-05-18 01:23:29,UW2AQMS,7,2012-03-05 18:00:46
10676868,lf,EVENT ID: 055706,UW,6.477837508480372,2005-08-09 14:40:05.48-07,48.8055,-121.7423333,34.15,15,15,4,0.5,0.78,F,y,n,n,0,2.24,l,11,13,0.131,2466093,,,,,,,,,,,,,2.27,238,0,3.82,0,90,31.61,2016-05-18 01:23:29,UW2AQMS,7,2012-03-05 18:00:46
10676868,lf,9 triggered subnets: 3 5 6 7 9 12 16 23 25,UW,6.477837508480372,2005-08-09 14:40:05.48-07,48.8055,-121.7423333,34.15,15,15,4,0.5,0.78,F,y,n,n,0,2.24,l,11,13,0.131,2466093,,,,,,,,,,,,,2.27,238,0,3.82,0,90,31.61,2016-05-18 01:23:29,UW2AQMS,7,2012-03-05 18:00:46
10676123,lf,"NEAR:      1.1 km   E of Mt Baker, WA",UW,1.9897554928189771,2005-10-02 09:02:19.379997-07,48.7785,-121.8436667,-1.12,5,5,0,0.5,0.53,F,y,n,n,0,0.88,d,2,2,0.088,2466083,,,,,,,,,,,,,1.94,207,0,4.77,0,90,31.61,2016-05-18 01:16:58,UW2AQMS,7,2012-03-05 17:59:11
10676123,lf,UW2 Q1=C  Q2=D,UW,1.9897554928189771,2005-10-02 09:02:19.379997-07,48.7785,-121.8436667,-1.12,5,5,0,0.5,0.53,F,y,n,n,0,0.88,d,2,2,0.088,2466083,,,,,,,,,,,,,1.94,207,0,4.77,0,90,31.61,2016-05-18 01:16:58,UW2AQMS,7,2012-03-05 17:59:11
10676123,lf,3 triggered subnets: 6 7 25,UW,1.9897554928189771,2005-10-02 09:02:19.379997-07,48.7785,-121.8436667,-1.12,5,5,0,0.5,0.53,F,y,n,n,0,0.88,d,2,2,0.088,2466083,,,,,,,,,,,,,1.94,207,0,4.77,0,90,31.61,2016-05-18 01:16:58,UW2AQMS,7,2012-03-05 17:59:11
