Network,Station,Latitude,Longitude,Elevation,Sitename,StartTime,EndTime
UW,LYND,48.95967,-122.41767,36.0,Lynden Middle School Lynden WA USA,2021-08-04T00:00:00,2599-12-31T23:59:59
UW,LYW,48.535172,-122.102928,107.0,Lyman,1975-04-18T00:00:00,1985-09-30T00:00:00
UW,MACH,47.994614,-122.031196,44.6,Machias Elementary School Machias WA USA,2020-09-18T00:00:00,2599-12-31T23:59:59
UW,MB2,48.78384,-121.900932,1676.0,Mt. Baker2 backup telemetry,1985-09-24T00:00:00,1989-06-30T00:00:00
UW,MBKE,48.916377,-122.14175,135.0,Mt Baker-Kendall WA USA,2001-07-01T00:00:00,2599-12-31T23:59:59
UW,MBPA,47.89835,-121.89018,186.0,Monroe BPA WA USA,1998-07-20T00:00:00,2599-12-31T23:59:59
UW,MBW,48.7838,-121.9009,1676.0,Mt. Baker WA USA,1972-09-11T00:00:00,2599-12-31T23:59:59
UW,MBW2,48.800754,-121.920067,1590.6,Mt Baker West 2 WA USA,2023-07-14T00:00:00,2599-12-31T23:59:59
UW,MCW,48.679,-122.8326,693.0,Mt. Constitution WA USA,1972-11-01T00:00:00,2599-12-31T23:59:59
UW,MJO1,48.582323,-121.938001,757.1,Mt Josephine experiment site 1,2021-09-01T00:00:00,2021-12-03T23:00:00
UW,MNRO,47.84899,-121.98347,17.1,Monroe WA USA,2021-10-26T00:00:00,2599-12-31T23:59:59
UW,MOW,47.84618,-122.049271,180.0,Monroe,1979-09-01T00:00:00,1984-07-31T23:59:59
UW,MRBL,48.518299,-121.484497,75.0,Marblemount WA USA,2008-11-10T00:00:00,2018-02-02T00:00:00
UW,MULN,48.53544,-122.06441,101.7,Lyman WA USA,2021-08-09T00:00:00,2599-12-31T23:59:59
UW,NATEM,48.10587,-122.81852,64.0,Natembea Northwest Farm Port Townsend WA USA,2021-03-07T00:00:00,2599-12-31T23:59:59
